bet_id,recommended_at,date,gamePk,matchup,first_pitch,market,side,line,book,price,fair_prob,fair_american,edge_pred,confidence,units_risked,status,units_pl,final_runs_h,final_runs_a,f5_runs,first_inn_runs,settled_at,player_id,player_name,actual_result,closing_price,closing_fair_prob,clv_pct,beat_close,notes
131,2026-05-28T18:28:36.640730Z,2026-05-28,824595,Minnesota Twins @ Chicago White Sox,2026-05-28T18:10:00Z,total,under,7.5,betmgm,105,0.5163,-107,0.0584,6,0.5,lost,-0.5000,6,2,7,1,2026-05-29T15:49:06.098962Z,,,,,,,,
132,2026-05-29T15:52:27.445607Z,2026-05-29,822732,San Diego Padres @ Washington Nationals,2026-05-29T22:45:00Z,moneyline,home,,fanduel,-110,0.5469,-121,0.0441,7,0.5,lost,-0.5000,5,7,9,3,2026-05-30T15:51:39.877398Z,,,,,,,,
133,2026-05-29T15:52:27.445607Z,2026-05-29,823135,Arizona Diamondbacks @ Seattle Mariners,2026-05-30T02:10:00Z,moneyline,away,,fanduel,128,0.4646,115,0.0593,8,1.0,lost,-1.0000,7,6,6,1,2026-05-30T15:51:39.877398Z,,,,,,,,
134,2026-05-29T17:59:48.031638Z,2026-05-29,824594,Detroit Tigers @ Chicago White Sox,2026-05-29T23:40:00Z,moneyline,home,,fanduel,102,0.5104,-104,0.0310,6,0.5,won,0.5100,4,3,3,0,2026-05-30T15:51:39.877398Z,,,,,,,,
135,2026-06-01T19:33:28.174555Z,2026-06-01,822730,Miami Marlins @ Washington Nationals,2026-06-01T22:45:00Z,moneyline,home,,fanduel,-142,0.6093,-156,0.0384,7,0.5,lost,-0.5000,3,7,4,1,2026-06-02T13:27:27.166608Z,,,,,,,,
136,2026-06-01T19:33:28.174555Z,2026-06-01,822974,Detroit Tigers @ Tampa Bay Rays,2026-06-01T22:40:00Z,moneyline,home,,fanduel,-158,0.6328,-172,0.0333,6,0.5,lost,-0.5000,9,10,9,2,2026-06-02T13:27:27.166608Z,,,,,,,,
137,2026-06-01T19:33:28.174555Z,2026-06-01,824510,Kansas City Royals @ Cincinnati Reds,2026-06-01T23:10:00Z,moneyline,home,,fanduel,-130,0.6042,-153,0.0690,8,1.5,lost,-1.5000,2,9,7,5,2026-06-02T13:27:27.166608Z,,,,,,,,
138,2026-06-02T13:30:45.154825Z,2026-06-02,825079,Los Angeles Dodgers @ Arizona Diamondbacks,2026-06-03T01:40:00Z,moneyline,home,,fanduel,106,0.5003,-100,0.0306,6,0.5,lost,-0.5000,5,6,6,2,2026-06-03T17:24:42.431809Z,,,,,,,,
139,2026-06-02T13:59:53.413718Z,2026-06-02,824675,Athletics @ Chicago Cubs,2026-06-03T00:05:00Z,moneyline,home,,fanduel,-120,0.5637,-129,0.0334,6,0.5,lost,-0.5000,1,2,3,1,2026-06-03T17:24:42.431809Z,,,,,,,,
140,2026-06-02T18:29:24.886946Z,2026-06-02,822728,Miami Marlins @ Washington Nationals,2026-06-02T22:45:00Z,moneyline,home,,fanduel,-112,0.5443,-119,0.0303,7,0.5,lost,-0.5000,3,7,4,0,2026-06-03T17:24:42.431809Z,,,,,,,,
